BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   4720583 ns/op	    435304 bytes	       148.0 calls	 8076688 B/op	   35012 allocs/op
BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   5062250 ns/op	    435288 bytes	       148.0 calls	 7978392 B/op	   34950 allocs/op
BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   4515958 ns/op	    435288 bytes	       148.0 calls	 8003352 B/op	   34926 allocs/op
BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   4488167 ns/op	    435288 bytes	       148.0 calls	 8010360 B/op	   34934 allocs/op
BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   4545666 ns/op	    435300 bytes	       148.0 calls	 8020680 B/op	   34961 allocs/op
BenchmarkSnapshot/48_x_8.2_kB-10     	       1	   4525958 ns/op	    435284 bytes	       148.0 calls	 8003648 B/op	   34917 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5568250 ns/op	    580250 bytes	       196.0 calls	10354488 B/op	   44972 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5646500 ns/op	    580244 bytes	       196.0 calls	10310080 B/op	   44888 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5364959 ns/op	    580202 bytes	       196.0 calls	10414280 B/op	   44923 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5467083 ns/op	    580242 bytes	       196.0 calls	10450088 B/op	   44936 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5447000 ns/op	    580228 bytes	       196.0 calls	10343624 B/op	   44910 allocs/op
BenchmarkSnapshot/64_x_8.2_kB-10     	       1	   5367291 ns/op	    580228 bytes	       196.0 calls	10270816 B/op	   45044 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2800958 ns/op	     34316 bytes	         7.000 calls	 1397616 B/op	    5390 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2809375 ns/op	     34320 bytes	         7.000 calls	 1362520 B/op	    5447 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2938083 ns/op	     34320 bytes	         7.000 calls	 1359976 B/op	    5425 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2651000 ns/op	     34320 bytes	         7.000 calls	 1318088 B/op	    5405 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2663459 ns/op	     34320 bytes	         7.000 calls	 1440896 B/op	    5415 allocs/op
BenchmarkSnapshot/1_x_33_kB-10       	       1	   2963125 ns/op	     34316 bytes	         7.000 calls	 1360088 B/op	    5420 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2818291 ns/op	     67939 bytes	        10.00 calls	 1851288 B/op	    6106 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2958417 ns/op	     67943 bytes	        10.00 calls	 2049920 B/op	    6132 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2942208 ns/op	     67943 bytes	        10.00 calls	 1924168 B/op	    6080 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2846834 ns/op	     67943 bytes	        10.00 calls	 1907040 B/op	    6105 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2998500 ns/op	     67943 bytes	        10.00 calls	 1925600 B/op	    6117 allocs/op
BenchmarkSnapshot/2_x_33_kB-10       	       1	   2828750 ns/op	     67943 bytes	        10.00 calls	 1866048 B/op	    6099 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   3239917 ns/op	    135195 bytes	        16.00 calls	 3130184 B/op	    7454 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   3078291 ns/op	    135195 bytes	        16.00 calls	 3085912 B/op	    7427 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   3072375 ns/op	    135187 bytes	        16.00 calls	 3079768 B/op	    7415 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   4054291 ns/op	    135195 bytes	        16.00 calls	 2997840 B/op	    7401 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   3006125 ns/op	    135195 bytes	        16.00 calls	 3096640 B/op	    7425 allocs/op
BenchmarkSnapshot/4_x_33_kB-10       	       1	   3386875 ns/op	    135191 bytes	        16.00 calls	 2988312 B/op	    7442 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3647750 ns/op	    269695 bytes	        28.00 calls	 5247160 B/op	   10089 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3542250 ns/op	    269703 bytes	        28.00 calls	 5103208 B/op	    9996 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3435625 ns/op	    269695 bytes	        28.00 calls	 5213304 B/op	   10087 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3739375 ns/op	    269703 bytes	        28.00 calls	 5051728 B/op	   10032 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3567166 ns/op	    269703 bytes	        28.00 calls	 5156816 B/op	   10050 allocs/op
BenchmarkSnapshot/8_x_33_kB-10       	       1	   3592250 ns/op	    269695 bytes	        28.00 calls	 4945864 B/op	   10001 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4579834 ns/op	    538725 bytes	        52.00 calls	 9072224 B/op	   15177 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4114958 ns/op	    538737 bytes	        52.00 calls	 8915960 B/op	   15033 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4320708 ns/op	    538729 bytes	        52.00 calls	 9261392 B/op	   15135 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4333792 ns/op	    538733 bytes	        52.00 calls	 8989800 B/op	   15092 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4365667 ns/op	    538729 bytes	        52.00 calls	 8954272 B/op	   15082 allocs/op
BenchmarkSnapshot/16_x_33_kB-10      	       1	   4413834 ns/op	    538733 bytes	        52.00 calls	 9022856 B/op	   15160 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   5594959 ns/op	   1076794 bytes	       100.0 calls	17165328 B/op	   25347 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   5603750 ns/op	   1076802 bytes	       100.0 calls	16949296 B/op	   25210 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   5691042 ns/op	   1076814 bytes	       100.0 calls	16980792 B/op	   25157 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   6742208 ns/op	   1076810 bytes	       100.0 calls	17246664 B/op	   25185 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   6523375 ns/op	   1076806 bytes	       100.0 calls	16993768 B/op	   25126 allocs/op
BenchmarkSnapshot/32_x_33_kB-10      	       1	   5694709 ns/op	   1076790 bytes	       100.0 calls	16838104 B/op	   25122 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	   6923375 ns/op	   1614944 bytes	       148.0 calls	25101672 B/op	   35153 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	   5779834 ns/op	   1614970 bytes	       148.0 calls	24602464 B/op	   35558 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	   5704584 ns/op	   1614928 bytes	       148.0 calls	24658120 B/op	   35775 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	   5405667 ns/op	   1614962 bytes	       148.0 calls	24810824 B/op	   35785 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	  23916792 ns/op	   1614916 bytes	       148.0 calls	24894728 B/op	   35250 allocs/op
BenchmarkSnapshot/48_x_33_kB-10      	       1	  62513209 ns/op	   1614946 bytes	       148.0 calls	25719800 B/op	   35527 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	  11692292 ns/op	   2153098 bytes	       196.0 calls	32898968 B/op	   45342 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	   7979916 ns/op	   2153092 bytes	       196.0 calls	32661368 B/op	   45159 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	   7898000 ns/op	   2153120 bytes	       196.0 calls	32900536 B/op	   45354 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	   7689208 ns/op	   2153106 bytes	       196.0 calls	32428408 B/op	   45178 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	   7976750 ns/op	   2153094 bytes	       196.0 calls	32829752 B/op	   45217 allocs/op
BenchmarkSnapshot/64_x_33_kB-10      	       1	   7625000 ns/op	   2153082 bytes	       196.0 calls	32525968 B/op	   45159 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   5080500 ns/op	    264551 bytes	        10.00 calls	 5382304 B/op	    6190 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   4355666 ns/op	    264551 bytes	        10.00 calls	 5260528 B/op	    6179 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   3485875 ns/op	    264551 bytes	        10.00 calls	 5508296 B/op	    6246 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   3783417 ns/op	    264551 bytes	        10.00 calls	 5420536 B/op	    6184 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   5430833 ns/op	    264547 bytes	        10.00 calls	 5416928 B/op	    6181 allocs/op
BenchmarkSnapshot/2_x_131_kB-10      	       1	   3846417 ns/op	    264551 bytes	        10.00 calls	 5487416 B/op	    6190 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   4030333 ns/op	    528411 bytes	        16.00 calls	 9843160 B/op	    7595 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   3913167 ns/op	    528411 bytes	        16.00 calls	 9916336 B/op	    7629 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   4103041 ns/op	    528411 bytes	        16.00 calls	10026040 B/op	    7642 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   5197625 ns/op	    528407 bytes	        16.00 calls	 9825792 B/op	    7586 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   4554459 ns/op	    528403 bytes	        16.00 calls	 9887608 B/op	    7626 allocs/op
BenchmarkSnapshot/4_x_131_kB-10      	       1	   4316333 ns/op	    528407 bytes	        16.00 calls	 9761376 B/op	    7602 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   5392834 ns/op	   1056131 bytes	        28.00 calls	19151728 B/op	   10386 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   4827375 ns/op	   1056135 bytes	        28.00 calls	18651488 B/op	   10325 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   5085375 ns/op	   1056119 bytes	        28.00 calls	19090520 B/op	   10251 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   5216500 ns/op	   1056131 bytes	        28.00 calls	18739352 B/op	   10288 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   4899542 ns/op	   1056123 bytes	        28.00 calls	19191048 B/op	   10375 allocs/op
BenchmarkSnapshot/8_x_131_kB-10      	       1	   4551083 ns/op	   1056127 bytes	        28.00 calls	19285328 B/op	   10369 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   7353791 ns/op	   2111585 bytes	        52.00 calls	36760264 B/op	   15713 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   6400041 ns/op	   2111593 bytes	        52.00 calls	36371832 B/op	   15682 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   6559708 ns/op	   2111593 bytes	        52.00 calls	36441912 B/op	   15624 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   6738500 ns/op	   2111597 bytes	        52.00 calls	36134624 B/op	   15638 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   6700541 ns/op	   2111577 bytes	        52.00 calls	36969856 B/op	   15651 allocs/op
BenchmarkSnapshot/16_x_131_kB-10     	       1	   6713291 ns/op	   2111597 bytes	        52.00 calls	36421664 B/op	   15635 allocs/op
BenchmarkSnapshot/32_x_131_kB-10     	       1	  11699250 ns/op	   4222546 bytes	       100.0 calls	72311680 B/op	   26522 allocs/op
BenchmarkSnapshot/32_x_131_kB-10     	       1	   9797875 ns/op	   4222530 bytes	       100.0 calls	71305952 B/op	   26089 allocs/op
BenchmarkSnapshot/32_x_131_kB-10     	       1	  10025375 ns/op	   4222526 bytes	       100.0 calls	71309368 B/op	   26429 allocs/op
BenchmarkSnapshot/32_x_131_kB-10     	       1	   9956959 ns/op	   4222534 bytes	       100.0 calls	71257688 B/op	   26805 allocs/op
BenchmarkSnapshot/32_x_131_kB-10     	       1	   9954417 ns/op	   4222530 bytes	       100.0 calls	71576856 B/op	   26760 allocs/op
